call_label,severity,field,issue,suggestion
1_col_names,ERROR,ProjectNumber,Inconsistent column naming across files: 'ProjectNumber' vs 'Project #'. Data dictionary specifies 'Project Number' for both General/EC and LSL lists.,Standardize all files to use 'Project Number' (with space) or establish single naming convention across all files
1_col_names,ERROR,Project Description,Column name spacing inconsistent: 'Project Description' in some files vs 'ProjectDescription' expected format. Data dictionary uses 'Project Description'.,Verify actual column name in wi-sfy26-not-fundable-list.csv and wi-sfy26-general-fundable-list.csv match dictionary
1_col_names,WARNING,EstimatedProject Cost,Column name has inconsistent spacing: 'EstimatedProject Cost' vs 'Estimated Project Cost' per data dictionary,Standardize to 'Estimated Project Cost' (with spaces) across all files
1_col_names,WARNING,Requested Costs/RequestedProject Costs,"Inconsistent naming across files: LSL fundable uses 'Requested Costs', General fundable uses 'RequestedProject Costs'",Standardize to single naming convention (recommend 'Requested Project Costs')
1_col_names,WARNING,PF Allocation columns,"Data dictionary specifies 'Total PF Allocated' but LSL fundable file has multiple PF columns: 'Private Side PF Allocation', 'Remaining Cost PF Allocation', 'Total PF Allocated'",Clarify which column(s) map to 'Principal Forgiveness' field in data dictionary
1_col_names,WARNING,Loan Amount columns,Data dictionary specifies 'Estimated Loan Amount' but files have variations: 'EstimatedLoan Amount' (EC fundable) vs 'Estimated LoanAmount' (LSL) with inconsistent spacing,Standardize spacing to 'Estimated Loan Amount'
1_col_names,WARNING,PF Points/PF Estimate columns,"Data dictionary references 'Total Estimated PF' and 'PF Points' but files have: 'BIL-EC PFEstimate5', 'General PFEstimate', 'TotalEstimated PF', 'Total PFPoints', 'Eligible PF %' with inconsistent naming and spacing",Clarify mapping of all PF-related columns to data dictionary fields
1_col_names,INFO,Extra columns,"Files contain columns not defined in data dictionary: Region, CME, FederalEquivalency, Project Manager, County, MHI, SubsidizedLoan Rate, FinancialNeedPoints, ProjectPoints, Program, Census Tract, Private Side Cost columns",Update data dictionary to document these additional columns or confirm they are not required for standardization
1_col_names,WARNING,Borrower,Data dictionary lists 'Borrower: No Information' but data files may contain borrower-related information in municipality or project fields,Verify if any column represents borrower information and update dictionary accordingly
1_col_names,WARNING,PWSID,Data dictionary lists 'PWSID: No Information' but this field may be available in source data,Confirm PWSID is not present in any file; update dictionary if found
1_col_names,WARNING,Project Name,Data dictionary lists 'Project Name: No information' but no column mapping provided; unclear if 'Project Description' serves this purpose,Clarify relationship between 'Project Name' and 'Project Description' or remove if not applicable
1_col_names,WARNING,"MHI (<$60,536)",Column contains special characters and parentheses which may cause parsing issues,"Standardize column name to remove special characters (e.g., 'MHI_under_60536' or 'MHI_Below_60536')"
1_col_names,WARNING,Subsidized LoanRate,Inconsistent spacing: 'SubsidizedLoan Rate' vs 'Subsidized LoanRate' across EC fundable files,Standardize to 'Subsidized Loan Rate' (with spaces)
2_types_nulls,ERROR,"wi-sfy26-lsl-fundable-list.csv: Requested Costs, Private Side Costs, Private Side PF Allocation, Private Side Loan $s, Remaining Costs, Remaining Cost PF Allocation, Remaining Costs Loan $s, Total PF Allocated, Total Loan Allocated, Total Funding Allocated","Dictionary specifies these columns should be numeric types for financial amounts, but they are stored as character strings with currency formatting ($). This prevents mathematical operations and comparisons.","Convert all currency columns to numeric by removing '$' and ',' characters. Store as numeric type (e.g., 13794000 instead of '$13,794,000.00')"
2_types_nulls,ERROR,wi-sfy26-lsl-fundable-list.csv: Private Side PF %,"Stored as character with '%' symbol (e.g., '100%', '50%'). Should be numeric for calculations and comparisons per dictionary expectations for financial/scoring data.","Convert to numeric by removing '%' symbol (e.g., 100, 50)"
2_types_nulls,ERROR,wi-sfy26-lsl-fundable-list.csv: Remaining Costs PF %,Stored as character with '%' symbol. Should be numeric per dictionary expectations.,Convert to numeric by removing '%' symbol
2_types_nulls,ERROR,"wi-sfy26-general-fundable-list.csv: RequestedProject Costs, EstimatedLoan Amount, BIL-EC PFEstimate5, General PFEstimate, TotalEstimated PF",Stored as character with currency formatting. Dictionary indicates these should support numeric operations but they are strings.,"Convert all currency columns to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,"wi-sfy26-general-fundable-list.csv: MHI(<$60,536)","Stored as character (e.g., '$47,083'). Should be numeric for income analysis.","Convert to numeric by removing '$' and ',' characters"
2_types_nulls,ERROR,"wi-sfy26-general-fundable-list.csv: SubsidizedLoan Rate, EligiblePF %",Stored as character with '%' symbol. Should be numeric for calculations.,Convert to numeric by removing '%' symbol. Note: 'fg' value in SubsidizedLoan Rate should be clarified or converted to NA
2_types_nulls,WARNING,wi-sfy26-general-fundable-list.csv: SubsidizedLoan Rate,Contains value 'fg' which is not a valid percentage. Unclear what this value represents.,Clarify the meaning of 'fg' and convert to appropriate numeric or NA value
2_types_nulls,ERROR,"wi-sfy26-ec-fundable-list.csv: RequestedProject Costs, Estimated LoanAmount, BIL-EC PFEstimate, General PFEstimate, Total EstimatedPF",Stored as character with currency formatting. Should be numeric.,"Convert all currency columns to numeric by removing '$' and ',' characters"
