call_label,severity,field,issue,suggestion
1_col_names,ERROR,PopulationServed,"Column name case mismatch: defined as 'Population Served' (two words) but file has 'PopulationServed' (camelCase, no space)",Rename to 'Population Served' or update data dictionary to 'PopulationServed'
1_col_names,ERROR,PriorityPoint Rank,Column name spacing/format mismatch: defined as 'Priority Point Rank' (three words) but file has 'PriorityPoint Rank' (mixed formatting),Rename to 'Priority Point Rank' or update data dictionary to 'PriorityPoint Rank'
1_col_names,ERROR,AssistanceAmount,"Column name case mismatch: defined as 'Assistance Amount' (two words) but file has 'AssistanceAmount' (camelCase, no space)",Rename to 'Assistance Amount' or update data dictionary to 'AssistanceAmount'
1_col_names,ERROR,AdditionalSubsidization(PrincipalForgiveness),"Column name case/spacing/format mismatch: defined as 'Additional Subsidization (Principal Forgiveness)' but file has 'AdditionalSubsidization(PrincipalForgiveness)' (camelCase, no spaces, missing space before parenthesis)",Rename to 'Additional Subsidization (Principal Forgiveness)' or standardize format in data dictionary
1_col_names,WARNING,EstimatedConstructionStart Date,Unexpected column present in file: 'EstimatedConstructionStart Date' is not defined in the data dictionary,"Either remove from file, add to data dictionary, or confirm if this is required data"
1_col_names,WARNING,NA,Missing column from data dictionary: 'Project Type' is defined in data dictionary but not found in file,Add 'Project Type' column to file or confirm if categorization logic will be applied separately
2_types_nulls,ERROR,PopulationServed,22.7% null rate - significant missing data that violates data completeness expectations for a required demographic field,Investigate source documents for missing population data; consider marking rows with missing population as incomplete records or follow up with data provider for Alabama population served information
2_types_nulls,ERROR,AssistanceAmount,Stored as character type but should be numeric; contains currency formatting ($) that must be parsed,"Convert to numeric type by removing '$' and ',' characters; validate all values parse correctly"
2_types_nulls,ERROR,PriorityPoint Rank,"Stored as character type but dictionary defines as 'Project Score' (numeric); contains mixed types ('SUPP' text mixed with numeric values like 270, 215, 180, 160)","Clarify whether 'SUPP' is a valid category or data entry error; if numeric, convert non-numeric values to numeric or handle as separate category; update column type definition"
2_types_nulls,ERROR,AdditionalSubsidization(PrincipalForgiveness),50% null rate is excessive and violates expected completeness for a key financial field; stored as character with currency formatting instead of numeric,Convert to numeric type; investigate whether missing values should be $0 or if data is truly unavailable; clarify with data provider if principal forgiveness is optional or missing
