call_label,severity,field,issue,suggestion
1_col_names,ERROR,mn-comprehensive-ppl.csv,Column name mismatch: 'RANK SYSTEM' does not match expected 'Rank' from data dictionary,Rename 'RANK SYSTEM' to 'Rank' or clarify if this represents a different field
1_col_names,ERROR,mn-comprehensive-ppl.csv,Column name mismatch: 'PROJECT' should be 'Project' (case sensitivity) and data dictionary indicates this maps to 'Project Description',Verify if 'PROJECT' contains full project descriptions or just names; rename for consistency
1_col_names,WARNING,mn-comprehensive-ppl.csv,Missing column: 'Borrower' (mapped to 'System' in comprehensive list per data dictionary),Add 'System' or 'Borrower' column to comprehensive file
1_col_names,WARNING,mn-comprehensive-ppl.csv,Missing column: 'PWSID' field is not present,Add PWSID column derived from Project ID with 'MN' prepended
1_col_names,ERROR,mn-general-ec-fundable-list.csv,Column name mismatch: 'PPLrank' should be 'PPL Rank' (spacing) per data dictionary,Rename 'PPLrank' to 'PPL Rank'
1_col_names,ERROR,mn-general-ec-fundable-list.csv,Column name mismatch: 'PPL points' should be 'PPL Points' (capitalization) per data dictionary,Rename 'PPL points' to 'PPL Points'
1_col_names,WARNING,mn-general-ec-fundable-list.csv,Column '...12' appears to be a placeholder or corrupted column name,Clarify or remove this column; verify data file integrity
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'IUPPart' should be 'IUP Part' (spacing) for consistency,Rename 'IUPPart' to 'IUP Part'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'PPLrank' should be 'PPL Rank' (spacing) per data dictionary,Rename 'PPLrank' to 'PPL Rank'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'PPLpoints' should be 'PPL Points' (spacing) per data dictionary,Rename 'PPLpoints' to 'PPL Points'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'SystemPopulationServed' should be 'System Population Served' (spacing) per data dictionary,Rename 'SystemPopulationServed' to 'System Population Served'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'BindingCommitmentDate' should use spacing per standard naming convention,Rename 'BindingCommitmentDate' to 'Binding Commitment Date'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'Part BRequestedLSLs' should be 'Part B Requested LSLs' (spacing) per data dictionary,Rename 'Part BRequestedLSLs' to 'Part B Requested LSLs'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'Part BKnownLSLs' should be 'Part B Known LSLs' (spacing) per data dictionary,Rename 'Part BKnownLSLs' to 'Part B Known LSLs'
1_col_names,ERROR,mn-lead-table-decoupled.csv,Column name mismatch: 'IUPApprovedAmount' should be 'IUP Approved Amount' (spacing) per data dictionary,Rename 'IUPApprovedAmount' to 'IUP Approved Amount'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'IUPPart' should be 'IUP Part' (spacing) for consistency,Rename 'IUPPart' to 'IUP Part'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'PPLrank' should be 'PPL Rank' (spacing) per data dictionary,Rename 'PPLrank' to 'PPL Rank'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'PPLpoints' should be 'PPL Points' (spacing) per data dictionary,Rename 'PPLpoints' to 'PPL Points'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'SystemPopulationServed' should be 'System Population Served' (spacing) per data dictionary,Rename 'SystemPopulationServed' to 'System Population Served'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'BindingCommitmentDate' should use spacing per standard naming convention,Rename 'BindingCommitmentDate' to 'Binding Commitment Date'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'Part BRequestedLSLs' should be 'Part B Requested LSLs' (spacing) per data dictionary,Rename 'Part BRequestedLSLs' to 'Part B Requested LSLs'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'Part BKnownLSLs' should be 'Part B Known LSLs' (spacing) per data dictionary,Rename 'Part BKnownLSLs' to 'Part B Known LSLs'
1_col_names,ERROR,mn-lead-table-raw.csv,Column name mismatch: 'IUPApprovedAmount' should be 'IUP Approved Amount' (spacing) per data dictionary,Rename 'IUPApprovedAmount' to 'IUP Approved Amount'
1_col_names,ERROR,mn-not-fundable-list.csv,Column name mismatch: 'IUPPart' should be 'IUP Part' (spacing) for consistency,Rename 'IUPPart' to 'IUP Part'
1_col_names,ERROR,mn-not-fundable-list.csv,Column name mismatch: 'PPLrank' should be 'PPL Rank' (spacing) per data dictionary,Rename 'PPLrank' to 'PPL Rank'
1_col_names,ERROR,mn-not-fundable-list.csv,Column name mismatch: 'PPLpoints' should be 'PPL Points' (spacing) per data dictionary,Rename 'PPLpoints' to 'PPL Points'
1_col_names,ERROR,mn-not-fundable-list.csv,Column name mismatch: 'SystemPopulationServed' should be 'System Population Served' (spacing) per data dictionary,Rename 'SystemPopulationServed' to 'System Population Served'
1_col_names,ERROR,mn-not-fundable-list.csv,Column name mismatch: 'BindingCommitmentDate' should use spacing per standard naming convention,Rename 'BindingCommitmentDate' to 'Binding Commitment Date'
1_col_names,ERROR,mn-not-fundable-list.csv,Column name mismatch: 'ECAmount' should be 'EC Amount' (spacing) per data dictionary,Rename 'ECAmount' to 'EC Amount'
