Rank Order,Priority Points,Application ID,ATPI,Pop. Served,PWSID#,Local Government,County,Project Description,"Total Project Amount
($)",Estimated Amount of SA-HMW Principal Forgiveness ($),Anticipated Interest Rate (%),Expected Term (Years),Expected Loan Award Date (mm/yy),Proposed Construction Start,Proposed Construction Completion
1,65,"32701-2026-
33",20,683,TN0000480,Brownlow Utility District,Johnson,"Waterline Extension (Installation of approximately 5,900 linear feet of 6-inch diameter waterline to provide an emergency connection between Mountain City and the Brownlow Sub-District; and the installation of approximately 1,500 linear feet of 4-inch diameter waterline to create a system loop, improve operations, and enable isolation during breaks or emergencies.)",3500000,2625000,1.32,20,May-26,Jan-27,Dec-27
2,60,2025-13781,40,17355,TN0000266,Glen Hills Utility District,Greene,Waterline Replacement (Replacement of the West Allens Road bridge waterline the will be installed under the Nolichucky River to enhance resiliency to flooding.),1865015,1398761,1.98,20,Aug-26,Apr-27,Sep-27
3,55,2025-13644,0,12236,TN0000231,Erwin Utilities Authority,Unicoi,Distribution System Improvements (Construction of a 400 gpm Booster Pump Station with associated appurtenances near Jackson Love Road and S. Industrial Dr intersection; the installation of approximately 200 linear feet of 8-inch diameter DIP waterline to connect to the existing water main; and the demolition of the damaged Temple Hill Booster Pump Station. This project will relocate the pump station out of the 100-yr and 500-yr flood plain.),1500000,1125000,1.47,30,Jul-26,Jul-27,Sep-27
4,55,2025-13694,0,12236,TN0000231,Erwin Utilities Authority,Unicoi,"Water line Replacements ( Installation of approximately 21,000 linear feet of 6-inch and 8-inch diameter ductile iron pipe and high-density polyethylene waterlines in the Temple Hill Pressure Zone to replace damaged water mains and improve system reliability and resilience.)",5250000,3937500,1.47,30,Jul-26,Sep-26,Jun-29
5,55,2025-13741,20,9143,TN0000094,First Utility District of Carter County,Carter,Waterline Replacement (Installation of approximately 500 linear feet of 6-inch diameter ductile iron pipe on the Lynn Valley Bridge that was damaged during Tropical Storm Helene. ),900000,675000,1.47,30,Oct-26,May-27,Sep-27
6,50,2025-13673,20,3529,TN0000282,Hampton Utility District,Carter,"Distribution System Improvements (Construction of a new booster pump station and the installation of approximately 2,000 linear feet of 6-inch diameter waterlines along Hwy 19E near the Hampton High School; and abandonment of flood-impacted pump station and waterlines.)",1000000,750000,1.47,30,Oct-26,Apr-27,Dec-27
7,50,2025-13668,40,26657,TN0000273,Greeneville Water Commission,Greene,"WTP improvements (Replacement of the raw water screening, repair river channel hydraulics, construction of an electrical room, installation of new pumps, relocation of two pumps and SCADA, electrical and HVAC improvements, a new security system, and other misc. work that was damage due to Hurricane Helene.)",22270000,16702500,1.98,20,Jan-27,Aug-27,Aug-29
8,50,2026-13809,40,32490,TN0000221,Elizabethton,Carter/ Washington,"WTP and Distribution System improvements (Installation of a SCADA system at 10 water storage tanks, 13 booster pumping stations, and 3 water treatment plants to enhance resiliency to rapid hydrological change and reduce flood risk and vulnerability.)",1900000,1425000,2.21,30,May-26,Sep-26,Dec-27
9,45,"32701-2026-
118",0,12236,TN0000231,Erwin Utilities Authority,Unicoi,"Waterline Extension (Installation of approximately 21,000 linear feet of 6-inch and 8-inch diameter waterline to connect the Luttrell Zone to the Temple Hill Pressure Zone to provide resiliency and redundancy.)",3500000,2625000,1.47,30,Jul-26,Oct-26,Jan-28
10,45,"32701-2026-
99",20,1226,TN0000584,Roan Mountain Utility District,Carter,"Waterline Replacement (Installation of approximately 20,000 linear feet of 6-inch diameter PVC waterline and the replacement of approximately 1,200 linear feet of 6-inch and 8-inch diameter cast iron and ductile iron pipe along Hwy 19E, Hampton Creek Road, and State Route 143 that were damaged during Hurricane Helene.)",1900000,1425000,1.32,20,Jan-27,Jun-27,Jun-28
11,35,2025-13792,10,27637,TN0000374,LaFollette,Campbell,WTP Improvements (Installation of a whole plant permanent generator with an automatic transfer switch to enhance resiliency to rapid hydrological change.),1386000,1039500,1.32,20,Mar-26,Jan-27,Dec-27
12,35,2025-13793,60,105057,TN0000331,Johnson City,"Washington/Sullivan
/Carter/Unicoi","Water Meter Replacement (Installation of approximately 45,000 AMI meters throughout the service area and the implementation of a meter data management system for enhancing resiliency to rapid hydrological change.)",10000000,5000000,2.64,20,Oct-26,Jan-27,Jan-30
13,30,"32701-2026-
111",20,6244,TN0000646,South Elizabethton Utility District,Carter,Waterline Replacement (Replacement of approximately 300 linear feet of 10-inch diameter ductile iron pipe on Gap Creek; and the installation of approximately 650 linear feet of 8-inch diameter high-density polyethylene waterline at the Earl Taylor Road Water Storage Tank to reduce flood risk and vulnerability.),350000,262500,1.32,20,Mar-26,2026-12-01T00:00:00.000,2027-05-28T00:00:00.000
14,25,2026-13817,40,14369,TN0000108,Chuckey Utility District,Greene/ Washington,"New Water Storage Tank (Construction of two 250,000-gallon water storage tanks to enhance resiliency to rapid hydrological change.)",2800000,2100000,2.21,30,Mar-26,Dec-26,Sep-27
